"","player","age","season","Transfer"
"421","Domingos Quina",22,"2020-2021",1
"422","Tom Dele-Bashiru",22,"2020-2021",1
"423","Philip Zinckernagel",27,"2020-2021",1
"424","Alphonse Areola",28,"2020-2021",1
"425","Rayan Aït Nouri",20,"2020-2021",1
"426","Matija Sarkic",24,"2020-2021",1
"427","Tahith Chong",21,"2020-2021",1
"428","Benjamin Lecomte",30,"2020-2021",1
"429","Memphis Depay",27,"2020-2021",1
"430","Jean-Clair Todibo",21,"2020-2021",1
"431","Eduardo Camavinga",18,"2020-2021",1
"432","Ibrahim Amadou",28,"2020-2021",1
"433","Rony Lopes",25,"2020-2021",1
"434","Boulaye Dia",24,"2020-2021",1
"435","Youssouf Sabaly",28,"2020-2021",1
"436","Okay Yokuslu",27,"2020-2021",1
"437","Hélder Costa",27,"2020-2021",1
"438","Stefan Mitrovic",31,"2020-2021",1
"439","Darío Benedetto",31,"2020-2021",1
"440","Kiko Casilla",34,"2020-2021",1
"441","Alex Cordaz",38,"2020-2021",1
"442","Mike Maignan",25,"2020-2021",1
"443","Yacine Adli",21,"2020-2021",1
"444","Fodé Ballo-Touré",24,"2020-2021",1
"445","Junior Messias",30,"2020-2021",1
"446","Pietro Pellegri",20,"2020-2021",1
"447","André Zambo Anguissa",25,"2020-2021",1
"448","Toma Basic",24,"2020-2021",1
"449","Martin Erlic",23,"2020-2021",1
"450","Maxime López",23,"2020-2021",1
"451","Manuel De Luca",23,"2020-2021",1
"452","Abdoulaye Touré",27,"2020-2021",1
"453","Alberto Paleari",28,"2020-2021",1
"454","Adrian Semper",23,"2020-2021",1
"455","Adama Soumaoro",29,"2020-2021",1
"456","Francesco Bardi",29,"2020-2021",1
"457","Brandon Soppy",19,"2020-2021",1
"458","Janis Antiste",19,"2020-2021",1
"459","Kelvin Amian",23,"2020-2021",1
"460","Gabriele Zappa",21,"2020-2021",1
"461","Keita Baldé",26,"2020-2021",1
"462","Raoul Bellanova",21,"2020-2021",1
"463","Kevin Strootman",31,"2020-2021",1
"464","Ardian Ismajli",24,"2020-2021",1
"465","Giovanni Crociata",23,"2020-2021",1
"466","Vincenzo Fiorillo",31,"2020-2021",1
"467","Simy",29,"2020-2021",1
"468","Michele Cavion",26,"2020-2021",1
"469","Joel Obi",30,"2020-2021",1
"470","Lassana Coulibaly",25,"2020-2021",1
"471","Omar Richards",23,"2020-2021",1
"472","Michaël Cuisance",21,"2020-2021",1
"473","Benjamin Henrichs",24,"2020-2021",1
"474","Mohamed Simakan",21,"2020-2021",1
"475","Ademola Lookman",23,"2020-2021",1
"476","Leonardo Balerdi",22,"2020-2021",1
"477","Amine Adli",21,"2020-2021",1
"478","Mitchel Bakker",21,"2020-2021",1
"479","Panagiotis Retsos",22,"2020-2021",1
"480","Manu Koné",20,"2020-2021",1
"481","Enzo Millot",19,"2020-2021",1
"482","Myziane Maolida",22,"2020-2021",1
"483","Stevan Jovetic",31,"2020-2021",1
"484","Anthony Modeste",33,"2020-2021",1
