"player","season","fouls_drawn_to_shot","def_action_to_shot","goal_creating_action","comp_live_pass_to_goal","comp_dead_pass_to_goal","takeon_to_goal","shot_to_goal_shot","fouls_drawn_to_goal","def_action_to_goal","carries","tot_carry_distance","prog_carry_distance","prog_carries","carries_into_final_third","carries_into_box","fail_to_control","lose_control_due_to_tkl","successfully_rec_pass"
"Joris Gnagnon","2019-2020",1,0,1,1,0,0,0,0,0,505,3152,1710,10,2,0,2,3,516
"Karl Toko Ekambi","2019-2020",0,0,3,2,0,0,1,0,0,169,1048,451,25,12,7,13,13,207
"Álvaro González","2019-2020",1,1,0,0,0,0,0,0,0,624,3115,1875,9,7,1,2,0,697
"Moses Simon","2019-2020",3,1,7,6,0,1,0,0,0,654,5292,3116,144,69,53,70,50,712
"Álvaro Giménez","2019-2020",7,0,2,1,0,0,1,0,0,303,1291,400,12,11,7,48,24,358
"Youssouf Koné","2019-2020",0,0,1,1,0,0,0,0,0,418,2082,1267,20,20,0,13,9,504
"Moussa Dembélé","2019-2020",5,0,6,5,0,0,0,1,0,452,2419,1030,38,23,21,94,58,578
"Federico Barba","2019-2020",0,0,2,2,0,0,0,0,0,539,3243,1946,18,9,2,12,3,566
"Gabriele Zappa","2019-2020",0,2,4,1,0,2,0,0,1,718,4030,2387,64,34,15,35,14,905
"Emmanuel Rivière","2019-2020",10,1,10,9,0,0,0,1,0,463,1946,679,20,22,8,80,40,693
"Victor Osimhen","2019-2020",11,0,7,4,0,1,0,2,0,321,1774,743,35,19,24,74,37,476
"Wylan Cyprien","2019-2020",1,1,13,5,6,0,2,0,0,714,3224,2044,24,19,1,18,15,1112
"Keita Baldé","2019-2020",3,0,5,3,0,0,1,1,0,217,1183,520,27,14,9,24,10,298
"M'Bala Nzola","2019-2020",5,1,6,2,0,1,2,1,0,556,3338,1034,38,27,15,74,48,631
"Jean-Victor Makengo","2019-2020",0,0,0,0,0,0,0,0,0,384,2436,1312,37,21,6,27,14,437
