player,transfer,season,matches_played,minutes,matches_played_starter,matches_played_sub,matches_no_play,raw_goals,raw_assists,raw_goals_and_assists,raw_nonpenaltykick_goal,total_pass_attempts,Total_Cmp.,Total_Passes_Leading_to_Shot,Cmp_Passes_18_yard_box,Progressive_Passes,tot_carry_distance,Total_Pass_Distance_Towards_Opp_Goal,prog_pass_ratio,prog_carry_dist_ratio,progression_by_carry,aerial_win_loss_ratio,Shot_Creating_Actions,def_action_to_shot,takeon_to_goal,prog_carry_distance,prog_carries,Progressive_Passes_Received,TakeOn_Attempts,TakeOn_Success_Percentage,Tackles_Total,Tackles_Won,tackle_success_rate,Interceptions,Clearances,Aerial_Win_Percentage,aerial_attempts,Forward,Midfielder,Defender
Edinson Cavani,1,2019-2020,14,605,7,7,2,4,1,5,3,136,83.8,10,7,13,268,254,19.53846153846154,0.44029850746268656,1.2688172043010753,4.571428571428571,22,0,0,118,3,52,8,87.5,5,1,0.2,1,2,36.4,11,1,0,0
Jacob Murphy,1,2019-2020,39,2298,24,15,5,9,4,13,9,792,55.9,43,27,53,5791,2835,53.490566037735846,0.5121740632015196,4.3236151603498545,20.48780487804878,98,2,0,2966,120,147,116,58.6,30,22,0.7333333333333333,12,17,32.8,61,1,1,0
Jayden Bogle,1,2019-2020,37,2900,33,4,2,1,5,6,1,1661,78.3,23,35,90,7261,6805,75.61111111111111,0.5594270761603085,3.5757042253521125,28.8,65,0,0,4062,106,177,111,56.8,65,43,0.6615384615384615,37,62,44.4,63,0,0,1
Max Lowe,1,2019-2020,29,2284,24,5,15,0,1,1,0,1385,74.1,24,23,95,4725,6441,67.8,0.562962962962963,3.325,45.1578947368421,50,0,0,2660,64,104,61,65.6,106,60,0.5660377358490566,47,63,53.7,82,0,0,1
Callum Robinson,1,2019-2020,16,853,10,6,1,3,2,5,3,350,68,18,16,39,1731,1024,26.256410256410255,0.47429231658001153,2.549689440993789,10.5,42,0,0,821,35,92,20,60,11,5,0.45454545454545453,9,5,33.3,30,1,0,0
Ibrahima Diallo,1,2019-2020,19,1561,18,1,1,0,1,1,0,858,85.3,10,4,69,3567,3372,48.869565217391305,0.4992991309223437,2.886547811993517,16.363636363636363,19,0,0,1781,24,18,32,81.3,38,24,0.631578947368421,23,16,57.7,26,0,1,0
Harrison Reed,1,2019-2020,25,1821,21,4,3,0,1,1,0,1209,86.4,13,10,115,3304,4480,38.95652173913044,0.45732445520581116,2.4370967741935483,23.696969696969695,32,1,0,1511,17,17,15,73.3,47,23,0.48936170212765956,35,33,41.1,56,0,1,0
Joe Rodon,1,2019-2020,21,1793,20,1,1,0,1,1,0,1040,81.8,3,3,55,3483,6560,119.27272727272727,0.6517370083261557,3.546875,74.46,7,0,0,2270,11,1,2,50,22,14,0.6363636363636364,33,114,59.3,123,0,0,1
Cameron Carter-Vickers,1,2019-2020,28,2366,27,1,2,0,1,1,0,1156,78.2,8,8,65,3293,5752,88.49230769230769,0.5475250531430307,2.7153614457831323,88.38888888888889,11,0,0,1803,18,33,10,50,33,25,0.7575757575757576,35,136,70.5,122,0,0,1
Karlan Grant,1,2019-2020,43,3698,42,1,0,19,4,23,13,1212,67.7,52,15,88,6767,3039,34.53409090909091,0.39855179547805525,2.8123044838373303,37.366336633663366,115,0,2,2697,110,315,110,41.8,18,12,0.6666666666666666,19,24,26.8,138,1,0,0
Cédric Kipré,1,2019-2020,36,2916,32,4,4,2,0,2,2,1303,78.9,3,6,49,4034,8336,170.12244897959184,0.5257808626673277,2.63151364764268,71.34615384615384,15,2,0,2121,7,6,9,66.7,50,35,0.7,56,144,57.4,122,0,0,1
Charlie Austin,1,2019-2020,34,1508,18,16,10,10,2,12,6,345,65.5,16,6,32,1101,512,16,0.22343324250681199,0.9111111111111111,27.350649350649352,30,0,0,246,5,94,16,62.5,9,8,0.8888888888888888,2,28,26,104,1,0,0
Kenneth Zohore,1,2019-2020,17,659,5,12,4,3,0,3,1,127,67.7,11,0,1,652,100,100,0.4049079754601227,2.3783783783783785,15.405405405405405,23,1,0,264,13,46,10,60,3,3,1,1,7,28.8,52,1,0,0
Sam Field,1,2019-2020,17,783,10,7,4,0,1,1,0,387,81.1,5,5,30,987,1489,49.63333333333333,0.3910840932117528,1.7788018433179724,15.076923076923077,12,1,0,386,3,2,3,100,22,18,0.8181818181818182,27,22,51.9,27,0,1,0
Sam Field,1,2019-2020,17,783,10,7,4,0,1,1,0,387,81.1,5,5,30,987,1489,49.63333333333333,0.3910840932117528,1.7788018433179724,15.076923076923077,12,1,0,386,3,2,3,100,22,18,0.8181818181818182,27,22,51.9,27,0,1,0
Saïd Benrahma,1,2019-2020,43,3545,39,4,0,17,8,25,13,1774,71.9,90,105,252,12155,6708,26.61904761904762,0.525462772521596,3.7263710618436408,6.545454545454545,219,0,2,6387,217,376,238,55.5,46,28,0.6086956521739131,9,6,35.3,17,1,0,0
Grady Diangana,1,2019-2020,30,1853,23,7,1,8,6,14,8,750,75.6,41,33,75,4635,1949,25.986666666666668,0.5592233009708738,3.74025974025974,16.457142857142856,100,0,4,2592,91,234,129,56.6,28,19,0.6785714285714286,7,6,31.4,51,1,0,0
Josh Cullen,1,2019-2020,34,3025,34,0,0,1,2,3,0,1705,77.8,56,21,198,4309,7926,40.03030303030303,0.4581109306103504,2.2900232018561484,39.86666666666667,113,1,0,1974,48,47,32,75,67,30,0.44776119402985076,45,49,46.4,84,0,1,0
Jordan Hugill,1,2019-2020,39,2837,30,9,0,13,1,14,13,502,64.7,21,6,28,1890,847,30.25,0.353968253968254,1.5630841121495327,135.8385093167702,52,0,1,669,23,145,27,55.6,11,6,0.5454545454545454,1,30,45.6,296,1,0,0
Hélder Costa,1,2019-2020,43,2954,33,10,0,4,5,9,4,1062,73.4,46,54,125,6703,2897,23.176,0.5258839325675071,4.0285714285714285,16.333333333333332,111,1,3,3525,147,376,126,46.8,63,37,0.5873015873015873,13,25,25,64,1,1,0
Morgan Sanson,1,2019-2020,27,2173,26,1,0,5,4,9,5,892,80.6,31,18,89,5639,2245,25.224719101123597,0.4649760595850328,3.073856975381008,13.36111111111111,83,3,0,2622,96,142,64,62.5,60,28,0.4666666666666667,23,9,26.5,49,0,1,0
Josh Maja,1,2019-2020,21,735,6,15,5,6,2,8,6,207,82.6,11,0,8,784,275,34.375,0.38010204081632654,1.5126903553299493,5.2,25,2,1,298,9,58,17,64.7,5,2,0.4,1,3,16.7,30,1,0,0
