,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
115,Cyle Larin,3,"1,823",2023-2024,28,ca CAN,Mallorca,es La Liga,35,"1,823",20.3,20,15,2,3,2,5,3,0,0,0,FW
116,Kiké,3,"1,423",2023-2024,33,es ESP,Alavés,es La Liga,33,"1,423",15.8,15,18,4,3,2,5,3,0,1,1,"FW,MF"
117,David López,3,"1,965",2023-2024,33,es ESP,Girona,es La Liga,25,"1,965",21.8,25,0,2,3,0,3,3,0,0,0,DF
118,Ricard Sánchez,3,"2,295",2023-2024,23,es ESP,Granada,es La Liga,33,"2,295",25.5,25,8,4,3,0,3,3,0,0,0,DF
119,Lucas Vázquez,3,"1,419",2023-2024,32,es ESP,Real Madrid,es La Liga,29,"1,419",15.8,14,15,9,3,6,9,3,0,0,0,DF
120,Óscar Mingueza,2,"2,998",2023-2024,24,es ESP,Celta Vigo,es La Liga,38,"2,998",33.3,33,5,0,2,2,4,2,0,0,0,"DF,MF"
121,Sergio Akieme,2,"1,675",2023-2024,25,es ESP,Almería,es La Liga,19,"1,675",18.6,19,0,1,2,0,2,2,0,0,0,DF
122,Sergi Darder,2,"2,157",2023-2024,29,es ESP,Mallorca,es La Liga,36,"2,157",24,21,15,0,2,5,7,2,0,0,0,MF
123,Federico Valverde,2,"2,904",2023-2024,25,uy URU,Real Madrid,es La Liga,37,"2,904",32.3,33,4,1,2,7,9,2,0,0,0,MF
124,Roger Martí,2,"1,359",2023-2024,32,es ESP,Cádiz,es La Liga,23,"1,359",15.1,18,5,2,2,3,5,2,0,0,0,FW
125,Alberto Moreno,2,"1,484",2023-2024,31,es ESP,Villarreal,es La Liga,27,"1,484",16.5,17,10,3,2,2,4,2,0,0,0,DF
126,Óscar Rodríguez Arnaiz,2,967,2023-2024,25,es ESP,Getafe,es La Liga,24,967,10.7,9,15,9,2,1,3,2,0,0,0,"MF,FW"
127,Frenkie de Jong,2,"1,634",2023-2024,26,nl NED,Barcelona,es La Liga,20,"1,634",18.2,20,0,1,2,0,2,2,0,0,0,MF
128,Andreas Christensen,2,"1,979",2023-2024,27,dk DEN,Barcelona,es La Liga,30,"1,979",22,27,3,6,2,2,4,2,0,0,0,"DF,MF"
