,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
505,Alfonso Espino,0,"3,122",2022-2023,30,uy URU,Cádiz,es La Liga,36,"3,122",34.7,35,1,1,0,4,4,0,0,0,0,DF
506,Cristhian Mosquera,0,145,2022-2023,18,es ESP,Valencia,es La Liga,3,145,1.6,1,2,28,0,0,0,0,0,0,0,DF
507,Matheus Cunha,0,377,2022-2023,23,br BRA,Atlético Madrid,es La Liga,11,377,4.2,2,9,2,0,2,2,0,0,0,0,"FW,MF"
508,Francisco Mwepu,0,21,2022-2023,22,zm ZAM,Cádiz,es La Liga,1,21,0.2,0,1,0,0,0,0,0,0,0,0,FW
509,Haissem Hassan,0,52,2022-2023,20,fr FRA,Villarreal,es La Liga,2,52,0.6,0,2,13,0,0,0,0,0,0,0,"FW,MF"
510,Jorge Herrando,0,25,2022-2023,21,es ESP,Osasuna,es La Liga,1,25,0.3,1,0,8,0,0,0,0,0,0,0,DF
511,Ander Martin,0,41,2022-2023,21,es ESP,Real Sociedad,es La Liga,3,41,0.5,0,3,7,0,0,0,0,0,0,0,"MF,FW"
512,Moises Parra Gutierrez,0,10,2022-2023,20,es ESP,Getafe,es La Liga,1,10,0.1,0,1,2,0,0,0,0,0,0,0,FW
513,Dyego Sousa,0,527,2022-2023,32,pt POR,Almería,es La Liga,20,527,5.9,3,17,14,0,1,1,0,0,0,0,FW
514,Kiko Femenía,0,"1,133",2022-2023,31,es ESP,Villarreal,es La Liga,20,"1,133",12.6,13,7,9,0,0,0,0,0,0,0,DF
515,Stefan Mitrović,0,"1,680",2022-2023,32,rs SRB,Getafe,es La Liga,22,"1,680",18.7,18,4,16,0,0,0,0,0,0,0,DF
516,Alex Telles,0,"1,427",2022-2023,29,br BRA,Sevilla,es La Liga,27,"1,427",15.9,15,12,3,0,2,2,0,0,0,0,DF
517,Fran Delgado,0,12,2022-2023,21,es ESP,Betis,es La Liga,1,12,0.1,0,1,3,0,0,0,0,0,0,0,DF
