,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
155,Giovani Lo Celso,2,"1,126",2022-2023,26,ar ARG,Villarreal,es La Liga,22,"1,126",12.5,14,8,1,2,3,5,2,0,0,0,"MF,FW"
156,Willian José,2,731,2022-2023,30,br BRA,Betis,es La Liga,28,731,8.1,6,22,7,2,1,3,1,1,1,0,FW
157,David Silva,2,"1,937",2022-2023,36,es ESP,Real Sociedad,es La Liga,28,"1,937",21.5,25,3,1,2,5,7,2,0,0,0,MF
158,Domingos André Ribeiro Almeida,2,"2,539",2022-2023,22,pt POR,Valencia,es La Liga,34,"2,539",28.2,29,5,2,2,4,6,2,0,0,0,MF
159,Kiké,2,"1,021",2022-2023,32,es ESP,Osasuna,es La Liga,35,"1,021",11.3,7,28,2,2,0,2,1,1,1,0,FW
160,Arnaut Danjuma,2,479,2022-2023,25,nl NED,Villarreal,es La Liga,10,479,5.3,6,4,2,2,0,2,1,1,1,0,FW
161,José María Giménez,2,"2,423",2022-2023,27,uy URU,Atlético Madrid,es La Liga,28,"2,423",26.9,26,2,3,2,1,3,2,0,0,0,DF
162,Amath,2,"1,227",2022-2023,26,sn SEN,Mallorca,es La Liga,28,"1,227",13.6,12,16,3,2,0,2,2,0,0,0,"MF,FW"
163,Álvaro Aguado,1,"1,888",2022-2023,26,es ESP,Valladolid,es La Liga,34,"1,888",21,18,16,4,1,2,3,1,0,0,0,MF
164,Jaime Mata,1,437,2022-2023,33,es ESP,Getafe,es La Liga,18,437,4.9,5,13,15,1,1,2,1,0,0,0,"FW,MF"
165,Marcos Llorente,1,"1,703",2022-2023,27,es ESP,Atlético Madrid,es La Liga,22,"1,703",18.9,21,1,2,1,2,3,1,0,0,0,"MF,DF"
166,David Alaba,1,"1,838",2022-2023,30,at AUT,Real Madrid,es La Liga,23,"1,838",20.4,21,2,3,1,3,4,1,0,0,0,DF
167,Franck Kessié,1,990,2022-2023,25,ci CIV,Barcelona,es La Liga,28,990,11,7,21,7,1,1,2,1,0,0,0,MF
168,Sergio Akieme,1,"2,297",2022-2023,24,es ESP,Almería,es La Liga,29,"2,297",25.5,27,2,4,1,0,1,1,0,0,0,DF
169,Kike Salas,1,368,2022-2023,20,es ESP,Sevilla,es La Liga,6,368,4.1,4,2,10,1,1,2,1,0,0,0,DF
170,Roger Martí,1,"1,294",2022-2023,31,es ESP,2 Teams,es La Liga,26,"1,294",14.4,16,10,7,1,1,2,1,0,0,0,FW
171,Lucas Torró,1,"2,477",2022-2023,28,es ESP,Osasuna,es La Liga,33,"2,477",27.5,31,2,1,1,0,1,1,0,0,0,MF
172,Copete,1,"2,206",2022-2023,22,es ESP,Mallorca,es La Liga,28,"2,206",24.5,27,1,6,1,0,1,1,0,0,0,DF
