,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
356,Erik Morán,0,228,2017-2018,26,es ESP,Leganés,es La Liga,6,228,2.5,2,4,4,0,0,0,0,0,0,0,MF
357,Pedro Bigas,0,894,2017-2018,26,es ESP,Las Palmas,es La Liga,12,894,9.9,11,1,2,0,0,0,0,0,0,0,DF
358,Leandro Cabrera,0,720,2017-2018,26,uy URU,Getafe,es La Liga,9,720,8,8,1,5,0,0,0,0,0,0,0,DF
359,Sergi Samper,0,143,2017-2018,22,es ESP,Las Palmas,es La Liga,2,143,1.6,2,0,4,0,0,0,0,0,0,0,MF
360,Bruno Gama,0,115,2017-2018,29,pt POR,La Coruña,es La Liga,6,115,1.3,1,5,0,0,0,0,0,0,0,0,"FW,MF"
361,Yerry Mina,0,371,2017-2018,22,co COL,Barcelona,es La Liga,5,371,4.1,4,1,5,0,1,1,0,0,0,0,DF
362,Ander Iturraspe,0,"1,904",2017-2018,28,es ESP,Athletic Club,es La Liga,30,"1,904",21.2,20,10,2,0,0,0,0,0,0,0,MF
363,Zdravko Kuzmanović,0,480,2017-2018,29,rs SRB,Málaga,es La Liga,8,480,5.3,6,2,4,0,1,1,0,0,0,0,MF
364,Andoni Gorosabel,0,76,2017-2018,20,es ESP,Real Sociedad,es La Liga,2,76,0.8,1,1,6,0,0,0,0,0,0,0,DF
365,Douglas Luiz,0,309,2017-2018,19,br BRA,Girona,es La Liga,15,309,3.4,1,14,13,0,0,0,0,0,0,0,"MF,FW"
366,Adrián Diéguez,0,435,2017-2018,21,es ESP,Alavés,es La Liga,6,435,4.8,6,0,6,0,0,0,0,0,0,0,DF
367,José Manuel Jurado,0,"1,501",2017-2018,31,es ESP,Espanyol,es La Liga,29,"1,501",16.7,20,9,4,0,3,3,0,0,0,0,"MF,FW"
368,Carles Planas,0,192,2017-2018,26,es ESP,Girona,es La Liga,5,192,2.1,2,3,10,0,1,1,0,0,0,0,DF
369,Oussama Tannane,0,573,2017-2018,23,ma MAR,Las Palmas,es La Liga,10,573,6.4,7,3,0,0,0,0,0,0,0,0,FW
370,Papakouli Diop,0,"1,204",2017-2018,31,sn SEN,2 Teams,es La Liga,20,"1,204",13.4,15,5,10,0,0,0,0,0,0,0,MF
371,Héctor Hernández,0,16,2017-2018,26,es ESP,Alavés,es La Liga,1,16,0.2,0,1,0,0,0,0,0,0,0,0,DF
372,Alfred N'Diaye,0,101,2017-2018,27,sn SEN,Villarreal,es La Liga,2,101,1.1,1,1,0,0,0,0,0,0,0,0,"DF,MF"
373,Augusto Fernández,0,107,2017-2018,31,ar ARG,Atlético Madrid,es La Liga,5,107,1.2,1,4,5,0,0,0,0,0,0,0,MF
374,Mateo Kovačić,0,992,2017-2018,23,hr CRO,Real Madrid,es La Liga,21,992,11,10,11,7,0,1,1,0,0,0,0,MF
375,David Alba,0,61,2017-2018,18,es ESP,Getafe,es La Liga,1,61,0.7,1,0,2,0,0,0,0,0,0,0,DF
376,Roque Mesa,0,343,2017-2018,28,es ESP,Sevilla,es La Liga,7,343,3.8,4,3,5,0,0,0,0,0,0,0,MF
377,Hacen,0,81,2017-2018,19,mr MTN,Levante,es La Liga,2,81,0.9,1,1,2,0,0,0,0,0,0,0,"FW,MF"
378,Tito,0,610,2017-2018,32,es ESP,Leganés,es La Liga,9,610,6.8,6,3,10,0,0,0,0,0,0,0,DF
379,José Alonso Lara,0,10,2017-2018,17,es ESP,Sevilla,es La Liga,1,10,0.1,0,1,0,0,0,0,0,0,0,0,MF
380,Nicolás Gaitán,0,219,2017-2018,29,ar ARG,Atlético Madrid,es La Liga,6,219,2.4,1,5,5,0,0,0,0,0,0,0,"MF,FW"
381,Jaume Costa,0,"2,536",2017-2018,29,es ESP,Villarreal,es La Liga,30,"2,536",28.2,29,1,3,0,0,0,0,0,0,0,DF
